# packages in environment at /home/drimple/work/chipyard/chipyard/.conda-env:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_sysroot_linux-64_curr_repodata_hack 3                   h69a702a_13    conda-forge
aiohttp                   3.8.4           py310h1fa729e_0    conda-forge
aiosignal                 1.3.1              pyhd8ed1ab_0    conda-forge
alabaster                 0.7.13             pyhd8ed1ab_0    conda-forge
alsa-lib                  1.2.9                hd590300_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
argcomplete               3.0.8              pyhd8ed1ab_0    conda-forge
asttokens                 2.2.1                    pypi_0    pypi
async-timeout             4.0.2              pyhd8ed1ab_0    conda-forge
atk-1.0                   2.38.0               hd4edc92_1    conda-forge
attrs                     23.1.0             pyh71513ae_1    conda-forge
autoconf                  2.71            pl5321h2b4cb7a_1    conda-forge
aws-sam-translator        1.55.0             pyhd8ed1ab_0    conda-forge
aws-xray-sdk              2.12.0             pyhd8ed1ab_0    conda-forge
awscli                    1.27.145        py310hff52083_0    conda-forge
azure-core                1.27.0             pyhd8ed1ab_0    conda-forge
azure-identity            1.12.0             pyhd8ed1ab_0    conda-forge
babel                     2.12.1             pyhd8ed1ab_1    conda-forge
bash                      5.2.15               hfbf034d_0    conda-forge
bash-completion           2.11                 ha770c72_1    conda-forge
bc                        1.07.1               h7f98852_0    conda-forge
bcrypt                    3.2.2           py310h5764c6d_1    conda-forge
binutils                  2.40                 hdd6e379_0    conda-forge
binutils_impl_linux-64    2.40                 hf600244_0    conda-forge
bison                     3.8.2                h59595ed_0    conda-forge
blinker                   1.6.2              pyhd8ed1ab_0    conda-forge
boto3                     1.26.145           pyhd8ed1ab_0    conda-forge
boto3-stubs               1.26.145           pyhd8ed1ab_0    conda-forge
botocore                  1.29.145           pyhd8ed1ab_0    conda-forge
botocore-stubs            1.29.145           pyhd8ed1ab_0    conda-forge
brotli                    1.0.9                h166bdaf_8    conda-forge
brotli-bin                1.0.9                h166bdaf_8    conda-forge
brotlipy                  0.7.0           py310h5764c6d_1005    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.19.1               hd590300_0    conda-forge
ca-certificates           2023.5.7             hbcca054_0    conda-forge
cachecontrol              0.13.0             pyhd8ed1ab_0    conda-forge
cachecontrol-with-filecache 0.13.0             pyhd8ed1ab_0    conda-forge
cachy                     0.3.0              pyhd8ed1ab_1    conda-forge
cairo                     1.16.0            hbbf8b49_1016    conda-forge
certifi                   2023.5.7           pyhd8ed1ab_0    conda-forge
cffi                      1.15.1          py310h255011f_3    conda-forge
cfgv                      3.3.1              pyhd8ed1ab_0    conda-forge
cfn-lint                  0.75.1             pyhd8ed1ab_0    conda-forge
charset-normalizer        2.1.1              pyhd8ed1ab_0    conda-forge
clang-format              16.0.3          default_h1cdf331_2    conda-forge
clang-format-16           16.0.3          default_h1cdf331_2    conda-forge
clang-tools               16.0.3          default_h1cdf331_2    conda-forge
click                     8.1.3           py310hff52083_1    conda-forge
click-default-group       1.2.2              pyhd8ed1ab_1    conda-forge
clikit                    0.6.2              pyhd8ed1ab_2    conda-forge
cloudpickle               2.2.1              pyhd8ed1ab_0    conda-forge
cmake                     3.26.3               h077f3f9_0    conda-forge
colorama                  0.4.4              pyh9f0ad1d_0    conda-forge
